Nested Sampling Global Log-Evidence           :   -0.618796313624431377E+03  +/-    0.116456794457235646E+01

Dim No.       Mean        Sigma
   1   -0.165919211637002650E+01    0.128420031428185255E+00
   2    0.686568626620406297E+00    0.209903986304285674E-01
   3    0.130515426032082527E+02    0.347805897803556252E+00
   4    0.139383023411714468E+01    0.168394121392555305E-02
   5    0.825089309693672557E+00    0.217253914635238878E-02
   6    0.913837432015617623E+00    0.205065613582923424E-02
   7   -0.155008885720445300E+00    0.847891632885819715E-02
   8    0.182004272308836201E+01    0.208819628805552264E-01
   9    0.609340200309736435E+01    0.301330892814969734E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.193858734417302614E+01
   2    0.702769861935073181E+00
   3    0.138267193556314325E+02
   4    0.139407842321132946E+01
   5    0.822336824568130620E+00
   6    0.916115919036660120E+00
   7   -0.146324509089787114E+00
   8    0.180480798341821402E+01
   9    0.604060506164523137E+01

MAP Parameters
Dim No.        Parameter
   1   -0.193858734417302614E+01
   2    0.702769861935073181E+00
   3    0.138267193556314325E+02
   4    0.139407842321132946E+01
   5    0.822336824568130620E+00
   6    0.916115919036660120E+00
   7   -0.146324509089787114E+00
   8    0.180480798341821402E+01
   9    0.604060506164523137E+01
