Nested Sampling Global Log-Evidence           :    0.300167634325398183E+03  +/-    0.732594659863161968E+00

Dim No.       Mean        Sigma
   1   -0.136282182204011963E-03    0.843623665170939755E-03
   2    0.100057254017905439E+01    0.103880882248665735E-02
   3    0.100002700390000032E+01    0.530853544829086436E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.510827634432331479E-04
   2    0.100030547284954330E+01
   3    0.100006188287917963E+01

MAP Parameters
Dim No.        Parameter
   1   -0.510827634432331479E-04
   2    0.100030547284954330E+01
   3    0.100006188287917963E+01
