Nested Sampling Global Log-Evidence           :   -0.215257304607032129E+05  +/-    0.103484008632053714E+01

Dim No.       Mean        Sigma
   1    0.799739989586683020E+00    0.478889578118232297E-03
   2    0.912194360085894607E+00    0.127527270741883611E-03
   3    0.195095460976629398E+01    0.204246052661261361E-02
   4   -0.423266820336659855E+01    0.259333291543939609E-01
   5    0.112033699833179345E+01    0.339320558539747707E-03
   6    0.151942752122348388E+02    0.547909713365676218E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.800071522824426395E+00
   2    0.912147682935897430E+00
   3    0.194911834244115578E+01
   4   -0.422712326859861687E+01
   5    0.112022474863654553E+01
   6    0.152201436036197855E+02

MAP Parameters
Dim No.        Parameter
   1    0.800071522824426395E+00
   2    0.912147682935897430E+00
   3    0.194911834244115578E+01
   4   -0.422712326859861687E+01
   5    0.112022474863654553E+01
   6    0.152201436036197855E+02
