Nested Sampling Global Log-Evidence           :   -0.100850929489728314E+05  +/-    0.676639091472377219E+00

Dim No.       Mean        Sigma
   1    0.784951342698949617E+00    0.000000000000000000E+00
   2    0.184517895529021225E+01    0.000000000000000000E+00
   3    0.104289309004448363E+02    0.000000000000000000E+00
   4   -0.800014472693462153E+01    0.000000000000000000E+00
   5    0.370701876766320604E+00    0.000000000000000000E+00
   6    0.138082273317429554E+02    0.000000000000000000E+00
   7   -0.936359358079226212E-01    0.000000000000000000E+00
   8    0.131679578765203109E+01    0.000000000000000000E+00
   9    0.842123326693510599E+01    0.000000000000000000E+00
  10    0.118019284021929494E+01    0.000000000000000000E+00
  11    0.681026014513316125E+00    0.000000000000000000E+00
  12    0.105878755585118656E+01    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.784951342698949617E+00
   2    0.184517895529021225E+01
   3    0.104289309004448363E+02
   4   -0.800014472693462153E+01
   5    0.370701876766320604E+00
   6    0.138082273317429554E+02
   7   -0.936359358079226212E-01
   8    0.131679578765203109E+01
   9    0.842123326693510599E+01
  10    0.118019284021929494E+01
  11    0.681026014513316125E+00
  12    0.105878755585118656E+01

MAP Parameters
Dim No.        Parameter
   1    0.784951342698949617E+00
   2    0.184517895529021225E+01
   3    0.104289309004448363E+02
   4   -0.800014472693462153E+01
   5    0.370701876766320604E+00
   6    0.138082273317429554E+02
   7   -0.936359358079226212E-01
   8    0.131679578765203109E+01
   9    0.842123326693510599E+01
  10    0.118019284021929494E+01
  11    0.681026014513316125E+00
  12    0.105878755585118656E+01
