Nested Sampling Global Log-Evidence           :   -0.142371591562659247E+06  +/-    0.466733821475056099E+00

Dim No.       Mean        Sigma
   1    0.729173152728612095E+01    0.000000000000000000E+00
   2    0.168537448264245771E+01    0.000000000000000000E+00
   3    0.159364978742846741E+02    0.000000000000000000E+00
   4    0.852937900784244007E+01    0.000000000000000000E+00
   5    0.385253261877722630E+00    0.000000000000000000E+00
   6    0.263794617603613224E+00    0.000000000000000000E+00
   7   -0.263537817098789695E+01    0.000000000000000000E+00
   8    0.921934107211140885E+00    0.000000000000000000E+00
   9    0.190493869446082869E+02    0.000000000000000000E+00
  10    0.156470321437078219E+01    0.000000000000000000E+00
  11    0.109682256620612928E+01    0.000000000000000000E+00
  12    0.106605132841568420E+02    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.729173152728612095E+01
   2    0.168537448264245771E+01
   3    0.159364978742846741E+02
   4    0.852937900784244007E+01
   5    0.385253261877722630E+00
   6    0.263794617603613224E+00
   7   -0.263537817098789695E+01
   8    0.921934107211140885E+00
   9    0.190493869446082869E+02
  10    0.156470321437078219E+01
  11    0.109682256620612928E+01
  12    0.106605132841568420E+02

MAP Parameters
Dim No.        Parameter
   1    0.729173152728612095E+01
   2    0.168537448264245771E+01
   3    0.159364978742846741E+02
   4    0.852937900784244007E+01
   5    0.385253261877722630E+00
   6    0.263794617603613224E+00
   7   -0.263537817098789695E+01
   8    0.921934107211140885E+00
   9    0.190493869446082869E+02
  10    0.156470321437078219E+01
  11    0.109682256620612928E+01
  12    0.106605132841568420E+02
